Paymet_id,Paymet_type,amount,payment_date,cust_id,order_id
01HD791FZBCF2H4YG1NB0K1370,Cash,1877,2023-09-28 14:30:24,35-103-4799,01HD76C9JXSWQDTQVMFHSXFSZ4
01HD791FZBYN2YKNTBJAAS2GAP,Cash,797,2023-03-30 16:15:34,14-910-7366,01HD76C9F8H61SE32W8ZDCJRTY
01HD791FZCY27ETW6RZEH9AGA5,PayPal,234,2022-12-03 21:05:01,59-754-2438,01HD76CAD74X2STVSCK0H1NABY
01HD791FZDEZPWN9A9D9ZHFQX0,Credit Card,1508,2022-12-25 08:01:47,31-156-0232,01HD76CA4RBT0JEZ3HM45DNKGJ
01HD791FZDYT60RBZSWJN14GK3,Credit Card,335,2022-10-28 06:08:38,45-947-5148,01HD76C9RNQNK2X5SKVCCNRYGG
01HD791FZEY210GWXJ0S4XJBFX,Credit Card,1997,2023-01-22 09:10:03,66-580-8434,01HD76CACF638NN7RKCD4Y9JTA
01HD791FZFRYMW97ASSKZ71EXB,Cash,1419,2022-12-21 00:08:10,50-084-6042,01HD76C9FQPMX00K8ARNV9CQRF
01HD791FZGXS6FHDDA34PXSHPQ,Credit Card,1628,2023-05-23 16:25:48,53-259-6643,01HD76C9Q6G95TXN30AC87NFGH
01HD791FZH0Z4MB4WRWS2PA678,Cash,1509,2023-10-18 04:54:40,12-255-7300,01HD76CAFQ4VGG3CKC4YBYWKZ3
01HD791FZJ1C3AT5PTE1VSX271,Credit Card,1048,2023-03-10 10:29:45,81-802-9847,01HD76CA5MN9J4Z72N0EZWHGB6
01HD791FZKPTND7DY1NH6N59D2,Cash,1601,2023-03-13 21:11:34,38-084-7274,01HD76CAD3YPGC7AJ132YB6T4Y
01HD791FZKQNNSKHRTCKT7PAYW,Credit Card,138,2023-06-29 04:34:05,38-118-1691,01HD76CA6KZTT6R0F289YMWAQ9
01HD791FZM2D06DT5K759A7RVB,Cash,1751,2023-06-30 22:57:11,50-120-7431,01HD76C92X2ZWRAZ4QFQCV0JVH
01HD791FZNSB9J9SMQJY7986G1,Credit Card,802,2023-09-20 02:53:09,85-022-4680,01HD76C9XPJQ557SV4X9GSD3F1
01HD791FZPKPN2KETSEV65ZB2W,Cash,1694,2023-05-13 08:02:20,43-679-5341,01HD76C9ZZGQT3QDNT4YA2QDMP
01HD791FZQB8GC5GWP427RSVY1,Cash,1220,2023-06-15 19:22:51,13-196-7133,01HD76CADY21873G4X22899B6P
01HD791FZRTXGJBJFQF0K4EB81,Credit Card,694,2023-03-09 02:13:53,44-438-9376,01HD76C9538NTMEHJECRZJ96JP
01HD791FZR4YGMYKT70KPVNFG6,PayPal,1435,2023-02-08 15:39:34,16-635-8273,01HD76C9BFFZ536EWV6Q533823
01HD791FZSZ33N1REEEG119Y8D,PayPal,402,2023-06-26 12:33:47,87-233-6490,01HD76C8ZJK208E3HGM5HDW2XV
01HD791FZTGF5HGNJPGKE89CYA,Cash,1000,2023-07-24 19:43:18,20-136-5480,01HD76C9PG5BRCF3TNNPR7BA4F
01HD791FZTCR95MB95QCX2FMWA,Credit Card,1751,2023-08-02 20:30:18,73-150-6882,01HD76CA5DPGARCPFNGHZRMYD1
01HD791FZWJVJCY1S8T5WJ91ZF,Cash,1680,2023-05-28 14:19:47,85-136-5288,01HD76C9R5VDK2B6XPFPDVXHJS
01HD791FZXH2S7XM51P8TZJCNS,Cash,1940,2023-07-12 00:21:22,91-549-7384,01HD76CAECVM2E074YRV4M5BHQ
01HD791FZXB4JA8JMEYFKM5AP2,PayPal,895,2023-02-25 15:16:24,07-888-9004,01HD76CAGYG86T7TPS3Y9G26Y7
01HD791FZYWF2E9PKFCTK1ZQ0P,Credit Card,329,2023-01-08 13:16:47,23-794-3865,01HD76C9F7E60FXGJH7B4PXM9Z
01HD791FZZZEKHD10E81VTXZNA,Cash,557,2023-04-02 02:23:12,36-020-1926,01HD76C9B4JQFHMR487VXEWPHA
01HD791FZZVE460VMN3XS24RZN,PayPal,607,2023-06-08 23:51:11,10-174-7765,01HD76CAFKGZMQPK78NFFWEA5R
01HD791G00MK982H6RVR8N6GAC,Cash,161,2023-01-10 16:23:29,35-951-1280,01HD76CA4JGV2B9H0T2SSY8HJE
01HD791G01K2YTPP7VHSBXKNSV,Credit Card,741,2023-05-04 23:33:38,10-638-3265,01HD76C9G6F2472002KNBQAJ0T
01HD791G02CTVBZ9MPZ8E3YPPH,Credit Card,1677,2023-01-08 23:19:22,80-240-6766,01HD76C977C51J254DSWWEVCRD
01HD791G03TP2WFW1FKZVJ1K81,Credit Card,586,2023-07-17 08:44:57,58-616-0629,01HD76C9P6Z9W557E13JX17TME
01HD791G03NNHTN9EVBS53DV1V,Credit Card,1193,2023-08-29 10:51:33,56-280-3301,01HD76C9DSMC24DK20BFHS4KKE
01HD791G04TP7JQ3CQY6PTE2DM,PayPal,1602,2023-07-01 13:24:14,68-326-5804,01HD76CAC1R1D8HGRH39KF0BA7
01HD791G05VHK31A9M688JBYGF,PayPal,1316,2022-11-20 09:32:25,21-992-0486,01HD76C9B7N647YZP6G0NFTB1D
01HD791G06YFNYXCKRWXJHK1C4,Cash,1576,2022-12-06 14:17:14,73-722-8742,01HD76CA9BCE5AFV8BYE3HJCFC
01HD791G07WZ2A5YHME9P09022,PayPal,1573,2023-10-05 11:22:27,27-869-0775,01HD76CADN1WGGN0CZ5BHQ687Q
01HD791G07VKA17FVPAB7M4JFS,PayPal,1186,2023-08-10 18:32:03,29-434-8514,01HD76CA3ZZ2K895ENDR04RT6D
01HD791G08ZZTD8C6KVF2ZM3XB,PayPal,795,2023-01-30 06:30:23,53-880-1857,01HD76CAF8GTZ2HQP0EXQ5562B
01HD791G09CM4BQE1S4Y7S67E7,Credit Card,474,2023-04-19 09:54:18,83-354-0086,01HD76C9DSMC24DK20BFHS4KKE
01HD791G09WC6G0G0DEANV1291,PayPal,812,2023-01-01 04:47:48,93-365-1155,01HD76C9M94GS31EFTXEDXV274
01HD791G0AXMTFV0Q45ZSWPW48,Cash,126,2023-10-12 16:13:32,94-394-2080,01HD76C919M06P1YEAB6PRMN3H
01HD791G0B8EM1ZFD5NFM5PPX4,Credit Card,1933,2023-10-06 13:37:41,01-610-2453,01HD76C9T30YHH6PKVCS3ENK9M
01HD791G0C8RE77T4T8XEY09V0,Credit Card,1985,2023-08-24 19:50:56,10-683-6546,01HD76C9E85Y2GXX9WV976DDBB
01HD791G0CP0R8D22X0N32EKTM,PayPal,1853,2023-06-15 03:04:20,57-653-9210,01HD76C91XB6VW03ADZ3F1FGY9
01HD791G0DJQ2QPE0CWK2C9D6V,PayPal,551,2023-06-06 17:25:21,81-350-3787,01HD76C9GDTQ4NQMP5HA85KHKR
01HD791G0EWAECSFWD8ED0AA28,Cash,1869,2023-09-28 17:18:44,87-004-9805,01HD76C9TTK258E382MKVZX6AJ
01HD791G0EMYJDMY4SPGTDBHNY,PayPal,1435,2023-03-25 03:57:02,83-316-0161,01HD76C9YC68C51C621F9NZ7PH
01HD791G0F3RK14REGWXPCS5X1,Cash,1481,2023-07-05 13:48:15,52-550-1936,01HD76C9VAK3X4DMYK99XRZYPH
01HD791G0GWEWV6K0MWC3MXVHV,PayPal,992,2023-02-11 09:35:49,92-666-8953,01HD76C95MRYMCWNNMD43VYXH1
01HD791G0HX24NNM8BYD02JHNC,Credit Card,520,2023-05-26 07:16:23,30-110-0813,01HD76CA8GJ3PNJ7RZYYT09F1M
01HD791G0J3VC5T349S7VHG4EP,PayPal,1367,2023-01-18 05:49:58,81-657-4576,01HD76C9VVH24AF88YSJ4W5NC0
01HD791G0K5JGD9EEPJ1854F6A,Credit Card,812,2023-03-18 03:28:11,14-819-5091,01HD76C9ZTH08AJ4BT8EZ3TPSG
01HD791G0M88C0MK1375VR8F4A,Credit Card,197,2023-10-05 20:40:05,00-044-7083,01HD76CACHMH7KAR1D8B4H4T1G
01HD791G0NKHPD1WSY6QEG592M,PayPal,1232,2023-03-20 21:24:20,39-384-7259,01HD76C9RRC0NK2AWDBANQB2Y3
01HD791G0P77RS19G16MX0WYJQ,Cash,596,2023-06-08 23:08:26,47-751-1327,01HD76C9JTBR3HF4JZ5Q22PEXZ
01HD791G0QPVR6PFR3631G7EZJ,Cash,1980,2022-10-27 08:46:20,91-501-5744,01HD76CAHSEW30M4VXE62KP6NM
01HD791G0Q5MKHSMS7EMBGH8E3,Cash,867,2022-12-15 14:03:44,52-675-0383,01HD76C93K0C2WJP185EPNBGE6
01HD791G0RDH18D8WKBSSBMJK0,Cash,610,2022-12-27 13:05:32,37-575-0819,01HD76C9CSGJRPMAZ3NE5Z4ADE
01HD791G0T2WQ8KX855QNNMKGN,PayPal,136,2022-12-19 21:52:41,28-249-8096,01HD76C8YCMF5VBATZNS48KSF3
01HD791G0VR3MDF0FX0V43NB9J,Cash,1989,2023-04-25 21:30:44,53-315-7848,01HD76C9SEE8ZMT9Z3DVAN9HXV
01HD791G0WY4M88QZA3NHJMSXH,PayPal,1905,2023-04-10 06:20:51,34-235-1002,01HD76C94RYYWD1WH0HJPY1SG4
01HD791G0YDZ9DJ7P8STE58RHH,Cash,518,2023-09-28 22:31:27,32-315-4195,01HD76CA7ZDBQTH75XSV121Q0C
01HD791G10TTFHQF9FTM3BEDWC,Credit Card,869,2023-05-03 05:55:44,69-427-8045,01HD76C9YBR1M3WCYFHNMWTFY4
01HD791G11X5SPBWJ6P74PM191,Cash,1228,2023-08-10 11:17:17,35-984-3277,01HD76CA5MN9J4Z72N0EZWHGB6
01HD791G11QX6GGQBTBASK165X,PayPal,1575,2023-09-02 20:19:22,71-412-7986,01HD76C9PJTNFZF1VRDHPQ79T4
01HD791G127ZMKCJD9WA2CYT5A,Credit Card,1170,2022-12-15 19:13:36,08-713-0896,01HD76C9W15DH3Q72NVP5W6M9Y
01HD791G13EBE4Y4NXY6PCJM7N,PayPal,432,2023-01-29 14:52:33,54-908-4439,01HD76CADRFCTCDNM16TBVVP9X
01HD791G14XCQ65VSFF78ZWCM7,Credit Card,1990,2023-06-29 12:51:11,65-971-5320,01HD76C94C08H9XHQ4S9A8B4J0
01HD791G15C47MFABYHTYHV2QN,Credit Card,1428,2023-01-06 07:41:00,75-889-9668,01HD76C927WRTYFWRGCTG5YTB6
01HD791G164CC8HCZH2DKFD9DQ,Credit Card,1193,2023-05-24 04:41:36,95-937-3803,01HD76C98DSSGP6VX1KRKZ4DVE
01HD791G16SM3CXVW1EYK3B55P,PayPal,1221,2023-02-28 04:30:12,35-144-2185,01HD76C97BBSW9ZV91XW6ZSVCK
01HD791G17136BZHW8NA1WA4TY,PayPal,1081,2023-06-11 23:39:10,26-916-8529,01HD76CAC9HCAV5C7TBKTP7AMA
01HD791G18QN82K0QBZD0AXZGY,Credit Card,831,2023-02-22 08:16:25,42-661-0274,01HD76C9YM5D8Y5CWF860TE8DV
01HD791G19QWTD0AWW41ARX5N9,PayPal,1571,2023-03-07 08:51:39,56-308-8878,01HD76C95VC3CAHMRHPM3N33J5
01HD791G1AHJM60B3ZJACJK9ZV,Cash,976,2023-01-24 05:02:54,09-227-5941,01HD76C9TJSMJP8GBG6XS2KGYQ
01HD791G1AV30NKTDEY1TSZ4MJ,Credit Card,1962,2023-03-09 00:39:57,86-621-1413,01HD76C9HF01XJ0X7S6XM9YS2G
01HD791G1BB08SS15R3NYDJ360,PayPal,1574,2023-09-21 15:40:32,84-747-1463,01HD76C9VAK3X4DMYK99XRZYPH
01HD791G1CK8TJTR1X957RZHHZ,Credit Card,1847,2023-09-16 05:39:54,18-620-0103,01HD76CA4TYNJ9DD1R8BX2A6X4
01HD791G1DPED63YACV230GR74,Credit Card,1276,2023-09-25 23:29:12,61-220-0067,01HD76C9HNDTMNY3ZWWHGKKDHZ
01HD791G1E2N5V1D47PJHPF4B9,Credit Card,1291,2023-07-31 23:55:17,90-197-5865,01HD76C8ZW65N1AZVM3WERYKJ8
01HD791G1FA76KVM3YHPRAPPGC,Cash,1110,2023-01-19 15:26:47,61-149-4265,01HD76C9X6QV9FGVWW46517C16
01HD791G1FEV02DQ4NKVEYRKAA,Cash,1008,2023-02-17 17:43:45,79-260-9666,01HD76C92AR7C8ZG0XM4KTGWA5
01HD791G1G1EGQNNJEP13FGVB0,Cash,1289,2023-09-07 16:17:15,89-841-0215,01HD76C9QPAE4ZN0P3E367FD5S
01HD791G1HW1KCRVJH1KZ70B48,PayPal,1752,2023-06-04 08:48:59,52-079-4738,01HD76CACKGM7TNTKTF40216PP
01HD791G1JFSJKZKMNR0GS9WT2,Credit Card,2000,2023-05-05 07:38:09,07-544-0879,01HD76C9PG5BRCF3TNNPR7BA4F
01HD791G1K8FN65RB0C3RDF7JQ,PayPal,202,2023-01-06 07:52:06,19-373-6608,01HD76CAGZBY4A1KRZGDZQQ64R
01HD791G1KN3614592V30XKGVR,PayPal,907,2023-07-07 07:30:42,20-291-9942,01HD76C92RF33T3MGZPHJ67C6M
01HD791G1M8ZX172EMJ96HD64H,Cash,650,2022-12-02 10:33:32,97-045-6052,01HD76C9QSKSWD986MMTVF4X72
01HD791G1NS2EG8E41KZEB0ZEB,Cash,154,2023-01-04 22:40:01,84-848-1658,01HD76CA7ECDV6C5AZM2NJGN0E
01HD791G1PC3FX0TQ0ECERYHEV,Cash,327,2023-05-07 10:49:47,76-109-0562,01HD76C9YGAP3EYGKHBM3T84F1
01HD791G1PVW3EBC4N1P3JHA63,Credit Card,357,2023-10-01 14:59:32,82-348-8527,01HD76CA5RYWF9JWQA3HGMJ8KQ
01HD791G1QA1F306ADN4BFP97K,Credit Card,1644,2023-10-09 18:47:19,17-232-7414,01HD76CA5TYV3AXA936SZNFDFK
01HD791G1RTRSA409NDGBQA3PP,Credit Card,671,2023-09-05 15:20:52,24-753-7382,01HD76C9CY9AEH99Q8C3ZJZ4WA
01HD791G1SKKSQYK5V4V1RPQTN,PayPal,1542,2023-03-14 09:56:27,66-844-6237,01HD76CACYFK15WG06TFW2MYXH
01HD791G1TVH8735RNDW43QZ2Z,Credit Card,1665,2023-07-21 20:52:29,69-014-6226,01HD76CA95YEXR2KQA5ADSEX4G
01HD791G1TXE4W61C5N0EJT5GB,PayPal,884,2023-07-24 19:56:21,33-961-2622,01HD76C9DJ97BR1VZF4VR49WST
01HD791G1VAB738CNWWTP1B6G5,Cash,1726,2023-03-29 02:59:02,00-463-2134,01HD76CAHKD9WZ7ZZ6260YGDZY
01HD791G1WGXVR69NP4D77126V,Credit Card,159,2023-09-26 13:10:46,51-166-9128,01HD76C9K9F5WKSCKRWKC39VGY
01HD791G1X9T6XPDERTEJN4JVC,Credit Card,1133,2023-07-28 05:23:36,09-406-1382,01HD76C9Y0QWVEKZB8A23F9NC6
01HD791G1YM7M5D1GVS94W2T4K,PayPal,1967,2023-01-25 14:45:51,26-268-0159,01HD76C8YXFG1V6A4BKTCTNKA8
01HD791G1ZHRB76166CBJ9KTG4,Cash,1104,2023-08-15 10:21:06,22-545-7971,01HD76C9FEG7T1R8DZQKN7WY5Q
01HD791G20QKTRS8QTAM6W80NR,Credit Card,1437,2023-01-27 14:46:58,83-414-3236,01HD76C9T1KK2H152MMVYVANG6
01HD791G21YNNVFTVZWWH0PFBQ,Cash,1861,2023-06-12 08:20:54,26-564-1766,01HD76C9KKXXX060RKRH6C2P8Z
01HD791G22TP2KNBFKAA0FJ48J,PayPal,460,2023-04-04 02:53:53,64-071-1280,01HD76C9ANC7EGASNTNFSNGQ6E
01HD791G22JY3ZRPKE3VV18GZ5,PayPal,1054,2022-11-06 08:03:42,84-790-9374,01HD76CAHWEVZP3B6TV2R2QNKV
01HD791G23QHX5NDAG2MY3Y90S,PayPal,561,2023-06-12 23:28:27,69-308-2579,01HD76CA0C9QZW4ENF6D8K2PEF
01HD791G24Q3XG9PGNCWAY8YH0,PayPal,1104,2023-02-02 08:08:10,08-508-9737,01HD76CA9FCZF7DCV5EDQH2EP1
01HD791G25MSYF9X7MAR2NFT9Z,Cash,107,2023-05-07 05:26:50,96-584-6938,01HD76C9N589FFJ0T0A9167VV5
01HD791G25RGCBZW9EEG401CSZ,Cash,411,2022-11-05 08:04:19,31-992-3876,01HD76CACKGM7TNTKTF40216PP
01HD791G26MP23YMHWT0KHEDTN,Cash,1058,2023-04-21 18:33:25,66-542-6553,01HD76CABTN1P6C8EMBJQWR19Z
01HD791G27VCB5T1A6K4H66GP9,Credit Card,875,2023-08-01 03:23:38,14-750-6269,01HD76C934R106E9SESBDNGG7G
01HD791G27BPHRBN6WK8CS5MV5,Credit Card,1212,2023-07-10 18:28:34,77-869-7804,01HD76C9P6Z9W557E13JX17TME
01HD791G28AC9TRNR63AKBCNQ7,PayPal,1740,2023-06-03 01:41:24,15-817-8701,01HD76CA61FKZAWQ0TW6W2VP2P
01HD791G29Z75JNRCZHC016Y5W,Cash,1954,2023-07-10 08:16:31,96-809-1510,01HD76C9S0CQ2HADV61F6D8JD6
01HD791G2A9NV1XYAR46RXRTMP,Cash,1638,2023-04-13 02:17:09,16-656-6667,01HD76C9TPMKFCS2T8A1EZQD0X
01HD791G2ASMXTVGGY7TXAQV57,Cash,1976,2023-05-09 07:32:59,11-115-0123,01HD76C9GB9BBTGJ7FMYJH88PB
01HD791G2B7H7Q39D7YPHH2K7W,Credit Card,710,2023-06-04 20:44:48,19-920-2006,01HD76C9QARN5AXEP4EBJ5TC9P
01HD791G2C6BSDCDE8XRM6M4R2,Cash,1100,2023-10-10 16:44:42,11-327-5989,01HD76CA9GSZ5G53MK2PJ6HEAS
01HD791G2D63F926C4T4XZ7JY6,Credit Card,480,2023-08-29 05:57:28,76-459-9516,01HD76C91RW3RNG19MW9PZZKD4
