Order_id,pizza_size,Order_time,amount,Order_type,pizza_name,beverages,cust_id,emp_id
01HD76C932VC1QEGKJA4CMQTTT,Extra Large,2023-06-29 00:03:42,204,Offline,Hawaiian,Pepsi,77-089-0528,689
01HD76C934R106E9SESBDNGG7G,Small,2022-12-08 17:08:22,1371,Offline,Pepperoni,Sprite,33-280-6171,395
01HD76C93613MX157BY53Q71WG,Medium,2023-06-11 10:30:31,811,Offline,Mushroom,Lemonade,40-685-0070,449
01HD76C939T11C7JTHMS1KQHY6,Small,2022-11-05 08:40:58,415,Offline,Neapolitan,Water,96-378-6966,247
01HD76C93B5K48F1PV05Q4QJXP,Large,2023-02-18 16:55:21,437,Online,Pepperoni,Tea,77-106-1134,83
01HD76C93EQS2VA2HAX1DFXE4Q,Small,2023-03-28 12:23:47,1493,Online,Pepperoni,Coffee,70-304-4483,699
01HD76C93HB2QRVM9YYXVGN97S,Extra Large,2023-01-01 09:30:15,181,Online,Supreme,Root Beer,43-146-0470,835
01HD76C93K0C2WJP185EPNBGE6,Large,2023-07-30 22:36:56,1062,Offline,BBQ Chicken,Sprite,29-291-6580,524
01HD76C93PMSM0ZNJ22R8FWFSR,Small,2023-06-30 12:08:15,245,Offline,BBQ Chicken,Water,64-221-1182,193
01HD76C93RAFQZ4H0QB7FEWWZQ,Extra Large,2022-12-07 08:50:17,470,Offline,Vegetarian,Coffee,23-340-1324,773
01HD76C93V80SC3DM970X2Y0PN,Small,2022-12-09 03:43:07,531,Offline,Vegetarian,Coffee,71-036-2482,448
01HD76C93XAF6WZNZDHWH36TCY,Medium,2023-03-09 18:30:53,1112,Online,Hawaiian,Lemonade,07-838-3350,127
01HD76C93ZRAM2RMYB1J5GJV4R,Extra Large,2023-05-24 12:15:57,1941,Offline,Hawaiian,Pepsi,70-209-7970,281
01HD76C942SDKRJYT1JCM9AYJK,Extra Large,2023-06-03 22:21:44,554,Offline,Neapolitan,Orange Juice,25-188-7415,13
01HD76C944FQ0HVMREQ7JZ7Q7V,Small,2023-01-08 22:00:43,666,Offline,Mushroom,Fanta,36-430-0006,359
01HD76C947XZ58JQ688N5BVGRH,Medium,2023-07-06 01:56:51,1580,Online,BBQ Chicken,Coffee,86-798-0927,174
01HD76C949PN2NZ1HBYMV1ZD91,Small,2022-10-27 09:41:15,1202,Online,Neapolitan,Orange Juice,71-524-8175,584
01HD76C94C08H9XHQ4S9A8B4J0,Large,2023-07-13 03:35:01,1545,Offline,Supreme,Iced Tea,74-913-9141,23
01HD76C94EZPC2TWZDZ74YXJX5,Small,2023-02-09 03:31:23,679,Offline,Neapolitan,Sprite,91-717-8418,174
01HD76C94HEVKRP51ACKKE1FMZ,Extra Large,2023-01-22 04:42:16,1632,Offline,Mushroom,Pepsi,63-241-9442,852
01HD76C94K5WWXG0CWAWXD8187,Small,2023-03-02 01:22:59,218,Offline,Pepperoni,Water,04-595-7470,221
01HD76C94NFRMT7MF7W7TZ4YGA,Small,2023-05-03 00:07:20,556,Offline,Pepperoni,Coffee,04-595-7470,877
01HD76C94RYYWD1WH0HJPY1SG4,Small,2022-11-18 11:07:16,1695,Online,BBQ Chicken,Coffee,95-734-1416,89
01HD76C94TQQ7SDEAWM370JYG1,Small,2023-08-22 23:55:15,1206,Online,BBQ Chicken,Coffee,18-483-0769,35
01HD76C94V5KKPX8JS8V2QKN9C,Small,2022-12-31 02:13:55,1196,Online,Vegetarian,Iced Tea,80-199-9705,431
01HD76C94WKRCKCFCPZKYPR5N8,Small,2023-04-09 18:16:50,1739,Offline,Mushroom,Orange Juice,23-867-8276,647
01HD76C94YQ1TVHVT7G9KK0N7H,Extra Large,2023-08-04 18:39:32,1848,Online,Margherita,Root Beer,14-263-2875,678
01HD76C9504PPQK63E4E630NKV,Small,2022-11-22 17:13:25,147,Online,Hawaiian,Fanta,58-657-5557,230
01HD76C9513QHY28FPF71VB4PN,Large,2023-06-29 00:58:59,1753,Online,Neapolitan,Sprite,17-497-5943,773
01HD76C9538NTMEHJECRZJ96JP,Large,2023-01-01 08:46:57,966,Online,Mushroom,Coffee,15-766-0551,243
01HD76C955BN4M4W8DQMFJRCGB,Small,2022-10-31 11:06:30,536,Offline,Neapolitan,Iced Tea,47-406-4170,902
01HD76C957BK67T43YBXBC340E,Small,2023-05-10 01:05:44,1893,Offline,Neapolitan,Root Beer,88-785-5986,901
01HD76C958RHCGRK4Y6BAHFWDZ,Small,2023-06-23 19:09:42,1132,Online,Hawaiian,Root Beer,70-680-5680,545
01HD76C95AYED9FEWJBD5A4YZ0,Extra Large,2023-06-09 09:59:32,594,Offline,Margherita,Coca-Cola,93-092-2567,385
01HD76C95BP12KQ2GS5DR9QES1,Medium,2022-11-05 19:48:00,372,Online,Neapolitan,Sprite,92-939-7915,521
01HD76C95CB0BYHM6VH5Y69697,Medium,2023-01-08 11:36:27,873,Offline,Neapolitan,Orange Juice,26-387-4145,730
01HD76C95E9891QZ31PEGNF7AN,Extra Large,2023-06-30 17:40:17,1926,Online,Supreme,Coca-Cola,89-711-5593,860
01HD76C95F391Q8X9P8Z6WQZCQ,Medium,2023-05-10 04:34:42,1890,Online,Hawaiian,Coffee,39-339-5311,904
01HD76C95GM87NE715G9A8Q8GG,Small,2023-04-24 10:05:00,433,Offline,BBQ Chicken,Lemonade,22-494-7753,294
01HD76C95H1SGT354YG2HQAMQF,Small,2022-10-27 13:15:08,518,Offline,Mushroom,Root Beer,82-486-6040,484
01HD76C95KAMB7HE1GZPRTFDYJ,Large,2023-07-26 07:44:49,1755,Offline,Supreme,Pepsi,24-006-6379,683
01HD76C95MRYMCWNNMD43VYXH1,Extra Large,2023-04-06 22:48:30,1394,Offline,Mushroom,Water,49-833-6584,331
01HD76C95PHN2NJ1Q3WZ2XDMJD,Large,2023-05-14 21:35:37,731,Online,Supreme,Pepsi,31-477-6965,516
01HD76C95QNJFCAKS0E25BKM7B,Large,2022-11-11 10:19:05,1675,Offline,Margherita,Orange Juice,40-059-0219,406
01HD76C95RG92KS6NQS8MGN9ZC,Medium,2022-12-27 19:18:54,397,Online,Neapolitan,Iced Tea,61-679-1145,366
01HD76C95T7SR4PRNES2NK29NK,Medium,2023-05-28 20:17:00,252,Offline,Margherita,Pepsi,68-925-3409,867
01HD76C95VC3CAHMRHPM3N33J5,Small,2023-01-10 15:47:07,1660,Online,Supreme,Tea,40-443-6896,718
01HD76C95W8SABY5HHT289TMG8,Medium,2022-11-04 10:26:39,750,Online,Vegetarian,Pepsi,21-807-2763,666
01HD76C95XHFXBEZZMNWRANCPE,Medium,2023-05-14 08:55:58,1561,Offline,BBQ Chicken,Orange Juice,37-588-6837,974
01HD76C95ZQHJ4ZAQZ358N0ZGA,Medium,2023-07-30 02:14:56,1314,Online,BBQ Chicken,Iced Tea,79-913-1711,797
01HD76C9605QMP1TS6F1TQDP99,Medium,2022-11-28 19:01:18,1922,Online,Margherita,Water,86-097-7373,956
01HD76C961QSC8KS21V2HAFNMS,Medium,2023-03-24 08:53:33,358,Offline,Supreme,Iced Tea,62-126-4548,527
01HD76C96375T7AF2HR5SX215V,Medium,2022-12-19 10:48:48,1319,Online,Margherita,Tea,53-932-0929,630
01HD76C964PRXZYDMXG4E8TQN0,Large,2023-10-06 09:44:57,818,Offline,Vegetarian,Coca-Cola,05-083-9914,492
01HD76C96500F4XE7ZBJVHNXAT,Large,2023-05-22 23:08:08,1234,Offline,Margherita,Coffee,62-038-8818,859
01HD76C96MTV7AJD2NR0CR3C7K,Medium,2022-12-20 06:36:28,107,Online,Vegetarian,Water,78-561-2024,189
01HD76C96PHJYZGS8S57Q8C4E4,Extra Large,2023-06-26 12:39:01,971,Offline,Neapolitan,Fanta,59-685-2211,225
01HD76C96QTE6NS2DXSYYAMPZQ,Medium,2023-07-19 23:30:38,722,Offline,Neapolitan,Sprite,74-888-1989,886
01HD76C96STQD2XH8GMMQGHBRY,Large,2023-10-08 09:06:55,1140,Online,Hawaiian,Tea,05-385-7293,387
01HD76C96TW6KCZF5T2SF42PWQ,Medium,2023-05-02 11:18:53,315,Online,Mushroom,Pepsi,00-576-7912,289
01HD76C96WSYCNWVRYWRBCXZ1M,Medium,2023-02-06 10:12:34,272,Offline,BBQ Chicken,Fanta,62-424-2551,811
01HD76C96XS44AX9WTZK7ZD2TG,Small,2023-09-22 20:45:17,1949,Offline,Supreme,Lemonade,66-509-2577,893
01HD76C96ZTSB2A8R2P548MD66,Small,2023-02-15 15:05:40,556,Offline,Hawaiian,Coffee,54-904-0468,390
01HD76C9701VR0XT7CZD4S5RNP,Extra Large,2022-11-08 11:57:10,1856,Online,Supreme,Tea,30-567-3775,218
01HD76C97127FAMXHTWH1SDPHJ,Large,2022-12-30 00:26:31,1872,Online,Neapolitan,Iced Tea,69-910-3606,363
01HD76C9737RKE8E8GA3S61H45,Large,2023-05-02 15:41:16,250,Offline,Pepperoni,Fanta,56-392-6102,682
01HD76C974JQTDV48422EQBH0K,Extra Large,2023-09-24 12:25:47,795,Offline,Mushroom,Root Beer,56-392-6102,522
01HD76C9761V0EEKWW475MHSJT,Large,2023-07-23 15:03:57,1203,Online,Mushroom,Coca-Cola,55-391-3467,728
01HD76C977C51J254DSWWEVCRD,Medium,2023-01-20 04:23:07,1170,Offline,Vegetarian,Root Beer,64-501-6552,369
01HD76C979251VXAQPXT7757A4,Medium,2023-05-17 16:09:44,133,Offline,Neapolitan,Pepsi,82-218-0410,361
01HD76C97AZC2T1R1KRD0RZZ3D,Large,2023-05-10 22:36:53,210,Online,Margherita,Fanta,03-170-8556,261
01HD76C97BBSW9ZV91XW6ZSVCK,Small,2023-08-07 23:39:57,380,Offline,Margherita,Sprite,13-291-7846,270
01HD76C97DXAYYYDA2HF33WKST,Medium,2023-06-14 13:17:00,969,Online,Supreme,Coffee,16-156-7823,771
01HD76C97E68YPHVQQKYFF5V48,Small,2023-01-19 08:20:39,1936,Offline,Neapolitan,Tea,97-484-9519,6
01HD76C97GPDZFPZ9NWFH2XEFG,Extra Large,2023-02-27 22:27:17,1649,Online,Pepperoni,Pepsi,38-295-1265,239
01HD76C97HNH4A3RTK196C18SW,Medium,2023-07-08 21:17:44,361,Offline,BBQ Chicken,Lemonade,02-817-1389,102
01HD76C97JY2244ZYMWYV3VHG2,Large,2023-07-27 09:37:21,1878,Offline,Vegetarian,Orange Juice,86-576-5160,859
01HD76C97MDCW8PHKT1M8PW1W0,Extra Large,2023-04-21 13:45:13,157,Online,Mushroom,Iced Tea,67-054-1617,228
01HD76C97NPM4N57ZK52BHEFQC,Large,2023-02-25 22:58:10,1087,Offline,Hawaiian,Coca-Cola,96-984-5306,121
01HD76C97QENW087YHHWV3WXNB,Extra Large,2023-02-25 17:42:07,172,Offline,Vegetarian,Coffee,12-678-6646,136
01HD76C97RW6NHS053AWTRSM5G,Small,2023-09-11 11:22:32,1514,Offline,Hawaiian,Water,35-164-5569,344
01HD76C97S98CXQC75MRKXFVD2,Large,2023-09-21 05:18:45,758,Offline,BBQ Chicken,Coffee,39-353-4389,850
01HD76C97VPA392TEKHT78GNNG,Small,2022-11-24 10:05:58,593,Offline,Neapolitan,Pepsi,03-113-8188,584
01HD76C97W9GSC60WMPNDDT9AT,Medium,2023-01-21 09:22:26,1435,Online,Hawaiian,Lemonade,73-685-2383,9
01HD76C97YRGT9RBG351M4ZD2Z,Extra Large,2023-01-02 04:25:30,529,Online,Pepperoni,Sprite,74-342-2891,970
01HD76C97ZGAFVTPHVKK3DPW6T,Extra Large,2023-03-30 07:16:06,173,Offline,Margherita,Iced Tea,45-706-3441,22
01HD76C980EZ4HK53QBVXM4XQG,Medium,2023-04-14 09:37:23,1057,Offline,Vegetarian,Fanta,32-565-0252,971
01HD76C98209T64SRZY6DRT9CD,Medium,2023-09-26 21:54:15,181,Offline,Mushroom,Water,84-282-3364,44
01HD76C983BZ1CRSMEFKXS21XG,Extra Large,2023-06-13 07:53:10,1429,Online,Neapolitan,Sprite,46-783-1142,112
01HD76C985AX4JDDJK05NSRE12,Medium,2022-11-21 16:59:21,492,Online,BBQ Chicken,Iced Tea,38-066-6208,704
01HD76C9864Y4FG8J3ZK9KRMPG,Medium,2023-04-17 00:31:05,439,Online,Neapolitan,Root Beer,96-061-8206,107
01HD76C988ZC1AR1V1222SBRYC,Medium,2023-05-05 01:47:18,1834,Offline,Margherita,Coffee,41-893-9869,704
01HD76C9894B1CRTVR5VDWMTKH,Large,2023-07-29 21:54:03,923,Online,Margherita,Pepsi,05-429-7555,427
01HD76C98AZZZ6K1Q3CMK58DZA,Small,2022-11-12 12:28:38,987,Online,Hawaiian,Coffee,81-542-4111,895
01HD76C98CGAMVR862WJ2RJPJH,Large,2023-04-27 09:48:48,919,Online,Neapolitan,Iced Tea,10-148-6407,207
01HD76C98DSSGP6VX1KRKZ4DVE,Large,2022-12-30 09:39:34,593,Offline,Mushroom,Water,10-104-7585,721
01HD76C98F3E4ZFN8JEWFR5W6W,Medium,2022-11-22 23:08:42,577,Online,Neapolitan,Orange Juice,07-664-0693,955
01HD76C98GGVZJ3EMVS0E3NCCR,Extra Large,2023-02-09 10:40:14,1316,Online,Vegetarian,Orange Juice,16-200-8082,444
01HD76C98H0CZ17GPYPJEKRNTJ,Medium,2023-08-30 16:37:09,1589,Online,Vegetarian,Water,15-508-8213,406
01HD76C98KKH0X2QZ7Z45FZRZV,Extra Large,2023-01-02 03:39:18,1719,Offline,Supreme,Lemonade,97-155-5237,813
01HD76C98MGSCJG2Y22ECWD6RN,Small,2023-10-16 04:43:41,913,Online,Neapolitan,Root Beer,56-886-9591,89
01HD76C98P8PXHBT8RF2MN1H1D,Extra Large,2022-11-16 18:39:45,317,Online,Pepperoni,Lemonade,11-843-5674,895
01HD76C98QS07PEHVCYFQJZXTC,Small,2023-06-14 02:34:55,1604,Online,Neapolitan,Orange Juice,36-785-3084,143
01HD76C98SKTY4DD00P9J8PR7R,Extra Large,2023-03-11 14:25:26,1997,Offline,BBQ Chicken,Root Beer,46-687-2689,189
01HD76C98TANMG2VXN77EWZ5Q3,Large,2022-10-22 16:51:47,1459,Online,Pepperoni,Sprite,54-681-7629,621
01HD76C98X07X81JSFD7DX30EM,Large,2023-01-09 23:41:27,753,Online,Margherita,Tea,31-512-3401,630
01HD76C98Z18T38MF9PJ2H6RJ3,Small,2023-08-23 01:58:11,1790,Online,Hawaiian,Coffee,25-127-5762,486
01HD76C99259W5JDE9NW584Q7P,Small,2023-04-03 19:39:49,1069,Online,Hawaiian,Fanta,84-299-6835,154
01HD76C994JBCRJH5A03SY4345,Medium,2023-04-18 02:07:19,488,Offline,BBQ Chicken,Coffee,59-350-2199,695
01HD76C996TXHR59Z4N16SY1AZ,Small,2023-01-15 11:55:41,1919,Offline,Hawaiian,Fanta,30-819-5771,822
01HD76C999M04YXQPGPZGDXQFG,Extra Large,2023-05-03 18:34:52,471,Offline,Supreme,Fanta,29-572-1339,20
