Shop_id,shop_name,shop_latitude,shop_longitude,daily sales,order_per_day,cust_id,order_id,emp_id
2329,shop 7,-7.9675395,112.7032945,168,6,93-076-6260,01HD76C9SPXP930M3KHR2YYV64,813
5,shop 4,52.5643,31.1364,170,6,28-843-2679,01HD76C9E3HT6AN5D3RMA3S5JY,380
62412,Shop 3,44.0328,42.8813,311,13,35-144-2185,01HD76CA0NPFQG97AH1V373E2A,307
69,shop 7,14.6587588,120.944359,306,12,41-219-4095,01HD76C9EFTVHF0QDZ4PDTC84J,859
9,shop 5,36.628305,101.765843,357,10,44-598-0642,01HD76C9JM58KE0F148GXF1ZEN,576
79,shop 10,52.1155638,16.3514938,457,16,50-677-5047,01HD76C9KH698TP2KJXFSDCW8Z,307
80,shop 10,41.2918839,-8.1963545,231,15,40-828-7824,01HD76C9VFP9YC8QHVFQG25KV5,381
8905,Shop 1,-16.4962793,-68.1372784,247,12,52-180-0248,01HD76CA4JGV2B9H0T2SSY8HJE,806
24388,shop 7,40.0580479,116.3333034,469,12,88-005-7964,01HD76CAH1B2N4NR0MVAS4K0DF,141
4968,Shop 1,48.6769923,22.3927591,347,15,79-260-9666,01HD76C9YN92SMWT3CNTF3TZCY,824
3714,shop 6,37.775349,117.385256,386,17,48-386-2066,01HD76C8YAKRNCWMPDSBJ484P1,737
16,shop 4,56.6226418,15.5189476,467,10,26-270-7279,01HD76CA5QSD8JBJHDMRV3Q82X,57
82,Shop 3,29.686366,89.208761,104,9,13-071-3647,01HD76C90B8VZJXD0BQFWC6R4V,507
09533,Shop 3,-7.3532,108.01,275,12,57-850-9206,01HD76C93EQS2VA2HAX1DFXE4Q,638
072,shop 7,40.1976461,124.5351538,443,5,23-883-6224,01HD76CACKGM7TNTKTF40216PP,76
5362,shop 6,50.2154468,16.2722098,331,18,05-695-5477,01HD76C8ZW65N1AZVM3WERYKJ8,702
717,shop 5,-23.0743544,-44.9561012,493,17,77-737-6878,01HD76C9GT1QJF8PARD9GJ7Q4J,623
5748,shop 4,40.5315848,-7.9522138,313,17,95-755-3753,01HD76C9E3HT6AN5D3RMA3S5JY,870
2,shop 6,-10.1916603,120.7005044,291,18,27-159-8327,01HD76C903N9DP72JAZ4DC6CBV,124
94183,Shop 1,-7.7595897,110.8344302,398,17,03-374-6495,01HD76C9260APBRCZXZ00NR7JF,174
71748,shop 4,-6.2167736,106.5230542,419,5,65-907-5687,01HD76CAE66KDN8XBCQKSKTMS9,383
80230,Shop 1,23.284628,116.268675,374,5,11-141-0141,01HD76C9YN92SMWT3CNTF3TZCY,788
4602,shop 6,51.1334208,71.4655758,141,14,39-621-3783,01HD76CAFSMFC5G378PN72008C,525
906,shop 6,-6.3413734,106.5495683,195,17,04-691-3128,01HD76C9FYQT79JRSTD6VYSAG9,548
6,shop 6,50.6548909,26.8652271,192,8,79-429-5193,01HD76CAGNP6NCRHJFSC4FPRZP,641
39,shop 10,-7.382645,107.7458559,413,20,59-420-6347,01HD76CA136DQ3C8JRV9PSDCSF,649
2404,shop 8,13.9013242,-87.1996084,341,13,61-169-3067,01HD76C8YWSD5HTDM7CGZCC7Y0,298
3,shop 9,54.8843032,38.1642604,457,15,69-937-7325,01HD76C8ZYDQ8EBK5FR8402F14,373
4126,shop 5,11.7928739,7.6168439,262,16,03-376-5597,01HD76C90ZAGEQP9CC1BE2WY7H,114
99721,shop 7,-8.906419,117.7395532,246,8,83-919-2237,01HD76C9KN4TXZYQS1MSTH8X53,931
24629,shop 4,8.0093062,-62.4015536,170,12,53-016-6972,01HD76CAE0W0VE9QFE3S4MWVR5,216
092,shop 8,5.4373199,-2.1401139,374,19,00-482-5825,01HD76CA732CNBG9NVH85QB7MS,648
55654,shop 10,41.7721061,-72.7038047,488,11,05-958-0705,01HD76C9701VR0XT7CZD4S5RNP,146
6615,Shop 1,51.490189,5.4711208,470,20,83-608-4927,01HD76C9CVAS6JPADQANNC3AHD,549
33,shop 4,14.9192781,100.2905604,185,5,65-889-0576,01HD76CAC9HCAV5C7TBKTP7AMA,240
6,shop 9,33.5810958,71.4303404,199,14,40-491-5814,01HD76CA6E6PQDM83MC55WD9EA,517
52059,shop 5,39.0860093,-94.6321217,435,6,45-947-5148,01HD76C99ZYQRHXSPQTKKPP9H8,114
2,Shop 2,23.106401,113.459749,283,10,58-689-1328,01HD76C9FXR69MWX8ZK507ZYHM,433
503,shop 6,41.6137961,42.8762335,471,19,33-795-6781,01HD76C9WDKN9XXTG91Z5TNB6B,548
221,shop 5,51.1907529,42.2463427,441,6,74-155-1549,01HD76CAGA9W59BZCE9K2P4VD7,445
2,shop 8,34.6672527,70.2117178,445,20,49-531-2184,01HD76C9GSFCCJ7MJWTZD0GT5M,441
92,shop 9,27.661918,120.565793,256,15,19-723-0512,01HD76C988ZC1AR1V1222SBRYC,547
5,shop 4,35.761829,115.029215,409,19,47-947-0827,01HD76C93B5K48F1PV05Q4QJXP,332
1,shop 6,28.220406,121.038129,468,7,18-934-4600,01HD76CA92J779H4G2YSDHFXH6,258
3068,shop 9,28.8828809,118.4675515,215,8,24-187-5199,01HD76CA47BYVKMB1F96NAAW6K,502
1,shop 5,26.491105,107.589359,475,5,31-187-5650,01HD76CAC67V51AJRGQY44ZPYK,431
424,Shop 1,28.6569553,77.2122028,480,17,58-390-6048,01HD76C9D73JBH4QKB2KDCJEZE,647
11439,shop 9,45.0827061,18.5064033,273,20,23-587-4872,01HD76C9DW13RX43CPASEYP5SH,705
319,Shop 2,23.199183,113.256439,490,14,94-412-8057,01HD76CA7WYZ5982YMTK22FCDM,966
71,shop 4,6.009544,80.780153,239,5,40-963-8446,01HD76C9KRE96W5765EXW3QD5H,112
5,shop 5,-14.2234,-72.194618,118,13,85-586-4833,01HD76CA5XJFFQ4SVRFA50P1DV,59
7,shop 6,-7.1432,114.3603,183,6,45-710-0373,01HD76C9QGXTVNNQSWVS8XQFAF,94
611,Shop 2,45.448409,-73.858939,419,6,69-308-2579,01HD76C942SDKRJYT1JCM9AYJK,635
5,shop 10,32.149961,34.8838788,448,16,79-693-9589,01HD76C8WZE6FVA6QPDNFVDPME,404
39,shop 5,-20.0325016,-44.1411883,202,12,35-163-1924,01HD76C92H9CGS9TYMDHWT15HN,44
2506,shop 6,44.6677818,19.6519918,373,7,02-015-9342,01HD76C9H6VTE6WXCYZT5613JF,186
121,shop 8,-34.4979812,-56.0389343,356,15,88-388-2861,01HD76CA95YEXR2KQA5ADSEX4G,180
44,shop 4,11.2975389,6.4956455,314,11,75-759-8840,01HD76C9S7NXQF527FKFFT024W,226
09,shop 5,30.677233,121.015142,215,16,67-443-8523,01HD76C9HS4GEV8JAQ0TEKCRKY,629
11688,shop 9,-6.6876798,111.4782661,358,12,04-699-9560,01HD76C9YTFSVEX3SAMN3WQM4X,40
9112,shop 5,50.75425,86.13414,394,8,46-343-3137,01HD76C9GXHP2ECB60WWJM6YJS,639
720,shop 5,28.852393,85.297534,131,9,75-163-5629,01HD76C99ZYQRHXSPQTKKPP9H8,578
02,Shop 3,10.584981,-62.3037176,499,20,41-876-7985,01HD76C96MTV7AJD2NR0CR3C7K,107
544,shop 9,7.4833333,146.325,369,16,10-174-7765,01HD76C90YNEQF9JWQC5JRTA1Y,55
5,shop 8,6.7911741,-77.5504779,386,16,49-081-0864,01HD76C9205XGA2PD4KVWJQP12,940
8,shop 9,57.6888453,11.9943311,145,17,94-608-2736,01HD76CACKGM7TNTKTF40216PP,717
36729,shop 5,10.3827887,-9.3118282,266,18,87-884-4470,01HD76C9WYW0FQJY0V1H1C6Z0X,914
98,shop 8,30.793647,106.074668,346,11,37-569-4798,01HD76C9T1KK2H152MMVYVANG6,810
0,Shop 1,-6.9322,113.0284,403,20,37-078-5791,01HD76CAHB8V91H3VZEECS23PK,2
26753,shop 8,50.7140155,14.7099785,425,20,92-723-3417,01HD76C9V69M23Q1YX8N5X45P4,2
27,Shop 1,59.0433753,15.8709393,410,17,55-988-6838,01HD76C9ERZ3VXZ1G8N6553ZFA,129
1777,Shop 3,-13.60277,-71.7676089,196,7,97-323-1908,01HD76C919M06P1YEAB6PRMN3H,47
396,shop 10,16.4306671,100.1255164,267,12,10-803-3917,01HD76C9ZFS4HK7GF00VDBAFFQ,265
07873,shop 8,22.672099,113.250897,179,7,35-671-5959,01HD76C9FYQT79JRSTD6VYSAG9,842
3,shop 8,-37.7068442,175.1468145,147,12,50-025-0926,01HD76C98H0CZ17GPYPJEKRNTJ,142
7,shop 4,42.9963758,21.944034,228,6,64-380-9629,01HD76C98H0CZ17GPYPJEKRNTJ,695
68,shop 9,-8.1405443,-36.371496,315,6,53-315-7848,01HD76CA6650BZRDMEZ1E69DYP,753
90906,Shop 3,52.3811357,4.6419648,259,7,20-182-6669,01HD76CAFH4CAG3DYVWPC1V092,492
6265,shop 8,39.9481364,20.0955891,407,16,84-424-6678,01HD76C9P2MNNYMT2HHCZM09WY,824
15038,shop 5,59.412262,5.2978064,367,8,35-140-2314,01HD76C9DFT5H3YC7MY5Z1QCM6,534
828,shop 6,-8.189186,-77.319061,269,14,95-805-5320,01HD76C9JXSWQDTQVMFHSXFSZ4,175
542,Shop 3,41.2699428,-8.2236098,281,7,78-945-3619,01HD76C9RVYY6FWTG2WT7SM8DS,365
1,Shop 2,39.900314,116.40605,403,13,58-620-6433,01HD76C9T1KK2H152MMVYVANG6,306
259,shop 4,50.877972,17.4803923,467,14,20-802-1644,01HD76CA5HAGTASVFVPYK0FPBZ,626
694,shop 7,-7.6181938,109.1508428,404,20,05-298-4623,01HD76C9F7E60FXGJH7B4PXM9Z,406
1188,Shop 1,45.4331407,-76.3609305,181,14,62-220-6463,01HD76CAFPP3HPFP8FK73EZFHW,202
49,shop 9,40.3277798,19.4749941,228,14,09-498-1757,01HD76CA92J779H4G2YSDHFXH6,429
979,shop 8,47.931513,1.920754,159,8,31-796-4737,01HD76C9JDEYDVFV99MM8E868H,927
6418,Shop 2,59.2914848,18.0916533,446,10,19-920-2006,01HD76CA7P82QY7KJPGCRFENT5,503
540,Shop 2,39.953041,116.371207,454,14,83-440-4997,01HD76CAHPJ6B11BY72H0KMG6P,141
60,shop 10,23.027054,113.111203,469,7,88-784-3567,01HD76CADN1WGGN0CZ5BHQ687Q,487
55358,shop 9,46.0852466,18.3028286,394,13,63-092-5729,01HD76C979251VXAQPXT7757A4,773
127,Shop 3,56.0660092,12.7332992,143,12,58-293-2067,01HD76CA7Y6DM2ABKJDCA0RBVB,969
51,shop 7,9.8566537,123.1426191,428,9,18-722-1293,01HD76C979251VXAQPXT7757A4,592
05264,shop 8,32.790614,35.326882,375,5,09-527-4612,01HD76CA7ECDV6C5AZM2NJGN0E,492
20110,Shop 2,39.7177351,-8.5280694,289,17,79-446-2374,01HD76C9QGXTVNNQSWVS8XQFAF,962
8687,Shop 3,20.9570351,-75.7197039,226,16,98-961-0567,01HD76C96PHJYZGS8S57Q8C4E4,435
342,shop 9,-9.6593944,120.2761574,245,11,98-715-5277,01HD76CAE4HQX18GPMS9MS9R2R,495
42,Shop 2,-8.1966,111.611,192,14,00-215-3383,01HD76C985AX4JDDJK05NSRE12,884
3337,shop 7,40.8926881,-8.4460592,157,12,54-940-8932,01HD76CA5YJKV8YSTMC5D45FS0,491
890,Shop 1,36.759507,110.632006,300,6,73-651-9458,01HD76CAHD9M0HV9Q4MEB8PTCY,118
681,Shop 3,49.373049,35.461353,486,17,56-474-9200,01HD76C97MDCW8PHKT1M8PW1W0,326
36,Shop 3,41.1690927,-8.3593779,115,15,72-853-2735,01HD76CAHQ3YEWCAV0VGT314AJ,157
9,shop 5,52.5234718,15.4078292,465,7,32-269-3483,01HD76CA4A3XK0KWDWZ1X9N711,571
4,shop 9,38.3833041,69.2698737,115,12,45-560-6043,01HD76CACWX2C517C4F0C1PQ4Q,159
3507,shop 9,-4,33.7,324,16,44-430-7571,01HD76C9XB6XPVMZZ6MGD6CG1T,169
9519,shop 7,38.8974442,-77.0296868,182,10,47-751-1327,01HD76C9A433K7JM1SZQF9PQTN,808
19610,shop 10,41.8905758,140.6934778,377,12,16-255-9807,01HD76C9VRTX6W5K79A8147WSN,392
2,shop 8,42.654146,122.749282,148,12,61-209-0141,01HD76C9ZMTRA5DQMAN2VKX989,937
9,shop 8,47.5155739,40.8140313,214,10,83-989-1459,01HD76C9DRTKJFP4Q4CT2B5N08,464
41263,Shop 3,-2.0883269,132.1967716,325,6,51-960-5282,01HD76C9DSMC24DK20BFHS4KKE,570
5758,Shop 3,-7.7929433,110.3249238,123,8,54-270-5429,01HD76C93RAFQZ4H0QB7FEWWZQ,686
8,shop 4,9.8411782,123.9121342,206,8,05-917-8215,01HD76CAD4R3SJM00R6B7QX5S1,842
0559,shop 7,-6.4930095,106.3875898,385,6,35-984-3277,01HD76CAHFWX0DQQ558W4D7RWS,992
6,Shop 3,49.1055022,28.1576316,155,20,10-718-8170,01HD76CAGQ3WRHE8FC189C2Y7B,577
43,shop 10,50.0705922,15.1845475,175,7,38-328-1480,01HD76C9A433K7JM1SZQF9PQTN,689
29730,shop 9,-14.4485861,-72.0794063,358,14,28-766-7407,01HD76C9DW13RX43CPASEYP5SH,643
6,shop 5,59.3019771,18.0885223,271,20,38-785-2020,01HD76C8YHVMKN9B6X6RM878H2,216
5629,Shop 3,30.378737,112.649998,212,10,13-191-2623,01HD76CA76P4QDC60HF2BES3DZ,738
207,shop 6,50.057265,22.275776,177,8,77-293-3789,01HD76C9B9R7BMNPJ6XJ7YH97M,559
844,shop 4,-7.6646951,110.3189662,378,18,24-333-7040,01HD76C958RHCGRK4Y6BAHFWDZ,384
569,shop 9,8.1380673,100.1255164,361,16,93-874-0231,01HD76CA057QA4RA4T204QN89F,916
17893,shop 8,32.197328,117.210612,384,10,09-437-0478,01HD76CAEGKXDBN05VC9GKQX9X,829
441,shop 5,48.8952384,2.238154,399,15,93-808-1692,01HD76C9BB6GWZA8VR3PXPJP6C,602
28536,shop 4,-7.8100327,110.3592495,491,14,01-487-9348,01HD76C9D9T8EGQTD20V735JKJ,314
7,shop 9,-20.4894632,-47.7834888,127,18,65-696-3991,01HD76C9KWQ1Q6NX610AEMCFNQ,847
54224,Shop 2,47.8215045,7.540987,217,16,79-047-6277,01HD76C9JGC4TM4N23BEGRERMW,407
723,shop 4,37.4212157,-5.9251211,250,7,29-511-1962,01HD76C9C5GHE6B49GV2AHFZV2,103
0406,Shop 3,10.1769828,38.1239492,264,5,13-147-9871,01HD76C9WJP2VFWWPCNGBJX0D0,668
7,shop 4,29.276391,109.709717,226,11,15-645-8144,01HD76CAHJGBTCC3915756TQEY,525
8,shop 7,24.749307,103.271467,277,19,91-834-2331,01HD76C983BZ1CRSMEFKXS21XG,23
8,shop 9,38.0434058,-121.2969674,175,14,66-580-8434,01HD76C9F1CZTK8A0AM4MHQ426,47
61587,shop 5,-10.6631,123.1415,401,14,69-614-5900,01HD76CAHKD9WZ7ZZ6260YGDZY,47
21,shop 6,46.0457437,14.8410058,285,9,61-285-2837,01HD76CA4P4VF3JP827Z5HR77T,955
9991,shop 9,49.522946,16.2614713,190,20,25-467-6288,01HD76C99GDZF8P7ZN48CM0X7V,34
69,shop 9,46.6202927,-64.386599,233,10,04-574-3556,01HD76CA4MQ38C2TQ63HW34BG8,890
683,shop 10,23.701262,117.430061,322,13,55-645-7270,01HD76C9VTBQJ5118QRS5F39YN,155
9316,shop 10,38.530028,114.976639,243,11,53-293-9694,01HD76C9TVEM9F3VY1F7K10582,531
1321,shop 9,7.6730918,-5.5722297,122,6,03-618-3741,01HD76C98CGAMVR862WJ2RJPJH,699
49,shop 4,30.837881,114.13334,373,18,83-249-7071,01HD76C9RRC0NK2AWDBANQB2Y3,373
6321,shop 5,42.65,-73.76,326,10,05-131-6156,01HD76C9BC3NZ6H5JGJCE0FJCK,81
71,Shop 2,34.9002535,33.6231723,102,8,27-789-4299,01HD76C9FA5SPTT1Y0WSN408DK,275
0301,shop 10,43.5251666,-5.6379087,410,17,07-027-2817,01HD76C96TW6KCZF5T2SF42PWQ,977
29,shop 6,8.1513421,35.5356866,328,17,89-765-9334,01HD76C9GNXGKX3F3A9MSJC889,39
9361,shop 7,13.0748879,120.7213113,120,5,04-936-3693,01HD76C9GNXGKX3F3A9MSJC889,318
7,shop 8,-31.3950849,-64.2390612,119,10,83-354-0086,01HD76C8Y252BXDS9YGBWEVX0M,155
978,Shop 3,54.1491581,91.8814443,368,17,28-547-6521,01HD76CA8Y6042TV2Z2BT00CP3,203
8,shop 10,18.7915629,100.7832784,312,15,88-487-4016,01HD76C961QSC8KS21V2HAFNMS,347
45131,shop 4,40.3159517,-7.9013121,310,6,21-983-3735,01HD76C9EJT3FXXBYYM97YTY04,413
54548,shop 8,42.9202891,-78.7589558,301,12,11-062-8008,01HD76C93K0C2WJP185EPNBGE6,854
426,shop 4,48.0724737,7.3469006,340,16,28-783-2450,01HD76C9YC68C51C621F9NZ7PH,442
730,shop 6,41.3643024,48.5260928,215,7,59-744-1794,01HD76C98209T64SRZY6DRT9CD,426
69,Shop 3,2.389011,-75.8942469,327,5,73-277-8627,01HD76C9C5GHE6B49GV2AHFZV2,441
69,Shop 1,27.320917,111.458656,483,19,71-903-5840,01HD76C90JYTXS8CP6EBVRC57E,315
04239,Shop 3,-8.5453,115.0752,159,9,56-444-4257,01HD76C9K7HGCN4TFJA5C7ZXZ2,253
4,Shop 3,40.4776836,45.0525325,405,18,40-825-0051,01HD76C9PD68QJ7V2VCX8GDE2B,52
7,Shop 2,47.49476,8.740263,120,11,54-378-1366,01HD76CA47BYVKMB1F96NAAW6K,934
1,shop 8,40.6108358,43.1000425,148,10,05-762-8911,01HD76C93XAF6WZNZDHWH36TCY,190
72,shop 4,16.4336105,120.3435365,359,20,10-758-6086,01HD76CABX7SD3XZ26RQ3ECJHK,755
46,Shop 3,2.7439024,98.3143192,425,12,81-350-3787,01HD76C9097JHF0W7C3P6FFFHY,835
63006,shop 10,32.009016,112.122426,372,18,84-848-1658,01HD76CA8EF74ECDJBP24SZHRP,308
72,Shop 3,29.9188786,121.8108521,387,12,74-755-0062,01HD76C9G7ST6NCJK02MQWQH8Y,312
0,Shop 1,40.179599,112.891988,365,7,33-877-5661,01HD76CAJ3QNK3RK9T33GT4EGR,160
5673,shop 10,53.0475258,90.944621,252,20,54-740-3091,01HD76C9ATX0WJYT5G9SHGF4D8,955
15351,shop 10,32.990664,112.528308,154,13,83-592-0462,01HD76C9NY8GPVTZH0RWEX9Z3J,436
08779,Shop 1,-6.2291489,106.8548083,278,9,86-634-7673,01HD76C9QBEZZ305YABZXDDX2Z,358
44,shop 7,40.69,-73.81,441,16,37-575-0819,01HD76C9Y65HQTHPKYZCJYPQ39,335
6,shop 6,15.661003,-91.430201,121,17,36-873-7954,01HD76C9Z0XFFPZ8K1FQ2PW7AG,55
637,Shop 2,39.912288,116.365867,482,16,52-661-1150,01HD76C9XTQA71SPCT9CK7YB3R,704
30,shop 4,-27.574998,-50.1626664,481,20,81-371-3443,01HD76C9YPGNMDXB0RRZC01NG0,117
45258,shop 10,67.1466984,-178.7494469,355,13,82-059-5589,01HD76CA7D6NJJEVK1DYARHJ12,922
82811,shop 6,58.249304,57.783316,321,5,95-283-1007,01HD76C9Y28J4EWFG7YPYMM04W,573
62927,Shop 1,27.622768,113.854556,335,12,92-772-5933,01HD76C8YPM8PRDVABCE97J574,770
6,Shop 1,51.954075,85.800614,450,19,02-189-7988,01HD76CA04H76GNVEAVM65J7B4,793
212,shop 6,49.8752681,14.6777303,255,13,19-670-3854,01HD76C9BMJR2WNWGGESFF4WPY,767
65,Shop 2,-7.5957387,108.2881709,213,19,38-430-1425,01HD76C9GSFCCJ7MJWTZD0GT5M,412
01,shop 6,29.519664,116.854021,434,14,85-580-0785,01HD76CA7G237QV430PWXWH8X4,790
2951,shop 9,21.857958,111.982232,122,7,76-316-2065,01HD76C8Z3Q17B7TQCJVEW82T0,924
787,shop 7,48.8168007,2.6402346,404,19,11-208-2407,01HD76C9QGXTVNNQSWVS8XQFAF,960
43,shop 9,38.963066,100.177294,455,13,26-261-9847,01HD76C9AYPXPW5NYJ3ERAV33Q,874
17667,shop 9,14.8043413,120.8805975,480,19,88-401-5332,01HD76C91XB6VW03ADZ3F1FGY9,519
998,Shop 2,40.221132,115.415805,203,5,54-857-7178,01HD76CA1CVB0DXVACRKMAWKJM,515
130,shop 7,9.3140186,123.3026369,260,20,98-012-7631,01HD76C9TB1700CYEHXM0MK7PW,864
96230,shop 4,54.036802,48.3304944,496,11,94-555-3152,01HD76C90YNEQF9JWQC5JRTA1Y,944
3972,Shop 1,44.840524,82.353656,168,12,53-259-6643,01HD76C9EDKKN36GNY3CV1VZK0,7
99,shop 7,-8.929933,-74.7059059,437,9,53-108-5338,01HD76C913TA6CM69PBQH6CMQR,21
226,Shop 3,-10.1496705,123.6539405,455,19,69-976-1125,01HD76C8ZSGR1407N9BPA2CBX1,855
98411,shop 7,-6.4306844,106.7175669,435,6,76-110-9956,01HD76C91JSEPHJPNJKWJ0BKAC,395
425,shop 7,29.4110744,71.6420004,269,19,96-890-5983,01HD76C90N4KFBEV28M71FHQXS,610
54337,shop 10,27.9408161,-101.211296,103,6,14-004-5881,01HD76C9RC4XZ0ZFVEGKD6RRJ7,339
260,shop 8,55.6842625,37.8548295,448,6,43-121-2238,01HD76CA89YKR1E6RD83N00AHP,664
357,Shop 3,24.765091,110.506663,142,9,20-745-0712,01HD76C9YGAP3EYGKHBM3T84F1,32
2807,shop 8,53.4698755,35.0963837,322,8,10-194-5158,01HD76C942SDKRJYT1JCM9AYJK,394
842,shop 4,31.746017,120.803452,166,16,03-884-4723,01HD76CABDSKJWQ6K6C8J9GTTB,579
48379,shop 4,53.4513,17.5316201,372,16,31-312-8816,01HD76CAHPJ6B11BY72H0KMG6P,420
4,shop 6,48.8120404,2.2718631,261,18,64-914-3469,01HD76C9Q367DBZTBCNQRG5VJK,715
45,shop 5,52.359151,5.1999127,272,9,04-012-5215,01HD76CA4GQHFZHNHS0RXTW1ZZ,739
0,Shop 2,-0.3208374,32.2937428,411,7,60-518-2061,01HD76C8XZGSGWGE8HBJPSP6D4,755
068,shop 5,-20.7371116,-48.9110606,114,13,61-556-9696,01HD76CADW7599HX50XSHN5Y6D,140
33,shop 6,36.2863829,120.2504861,153,14,28-183-0664,01HD76C93XAF6WZNZDHWH36TCY,511
80,shop 5,13.292049,19.6907146,459,13,95-425-7061,01HD76C9NP20RG21TCB9K3G30J,174
7,shop 8,43.521619,-96.722641,455,6,95-068-5164,01HD76C9MPAD28215BC4S3PWP3,1
0562,shop 8,32.0860889,-7.0552218,146,15,13-012-8396,01HD76C9H0VWGQZG92JZB5WHHA,532
197,shop 7,50.4398775,3.3941571,426,8,78-217-6339,01HD76CA711WMW3GY8DPGD2TSH,29
34,shop 8,34.681962,-1.900155,102,8,65-971-5320,01HD76CAB3XAGPC2STCK3YJZ63,446
71976,Shop 1,9.2610401,125.9638162,170,10,27-880-9422,01HD76CAD4R3SJM00R6B7QX5S1,801
1,Shop 2,23.020673,113.751799,424,16,49-410-1564,01HD76CA90VDMW1TB1Q84P69DN,606
73311,Shop 3,25.710538,116.754472,385,7,24-299-2229,01HD76C9H0VWGQZG92JZB5WHHA,290
924,Shop 1,6.1097207,102.2462087,483,5,91-577-4615,01HD76C98CGAMVR862WJ2RJPJH,927
409,shop 5,0.9024684,120.6545022,160,6,01-308-6011,01HD76C9260APBRCZXZ00NR7JF,285
8337,shop 9,23.018033,-82.3343375,345,6,60-693-0098,01HD76C9EFTVHF0QDZ4PDTC84J,7
5279,Shop 1,43.6805415,40.2100333,276,5,68-353-5085,01HD76C9S2E4E06N0GMYBGJ5QA,132
330,shop 10,-7.4515784,108.1888771,173,12,27-869-0775,01HD76CA3MAPY3EE9T7GN2Q7H0,319
587,Shop 3,26.207631,113.767529,138,18,60-249-4083,01HD76CA4VNQVAC3TA04PM46BG,177
9,shop 5,42.1023509,20.2325862,120,18,85-340-5013,01HD76C9DKSJWGTT5BM4H710KX,170
22172,shop 4,24.745135,100.824707,183,14,14-910-7366,01HD76C9YZ788V91VT2C56DTB1,74
370,shop 9,46.5010451,15.1077845,399,8,10-669-4411,01HD76C9PAT2ZA289VGVS29TWX,734
93,shop 4,14.6925714,121.0468246,299,19,95-684-7073,01HD76C98GGVZJ3EMVS0E3NCCR,232
914,shop 10,-6.7513288,105.7527221,156,7,26-908-3404,01HD76C9AVMJDHV1DB4J0H14ZV,199
84305,shop 4,26.41417,109.10222,338,9,99-936-5153,01HD76CA5ZPBJZ1JJRNMZ81EGQ,1000
35,shop 4,39.630867,118.180193,288,16,00-044-7083,01HD76C9B4JQFHMR487VXEWPHA,968
8,shop 4,13.5336211,-14.7695962,469,12,33-993-0353,01HD76C9CKP34B72E620N09MYJ,13
0,Shop 1,-18.8424187,-42.8247877,396,16,53-173-7090,01HD76CAHG81E7J33MG0P3R6FZ,108
682,shop 8,22.791223,110.454459,163,13,29-508-9076,01HD76CAD6CCX7HQ3V2SNQWR6T,970
